Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Grove","GROVE",154.000000,-88.500000,270.000000,bottom
"C1","10u","C_0805_2012Metric",161.500000,-98.500000,270.000000,top
"C2","10u","C_0805_2012Metric",169.500000,-98.500000,270.000000,top
"C3","0.1u","C_0603_1608Metric",163.500000,-98.500000,270.000000,top
"C4","0.1u","C_0603_1608Metric",167.500000,-98.500000,270.000000,top
"C5","4.7u","C_0805_2012Metric",165.500000,-98.500000,270.000000,top
"C6","4.7u","C_0805_2012Metric",155.700000,-82.200000,270.000000,top
"C7","10n","C_0603_1608Metric",159.200000,-85.200000,180.000000,top
"C8","1u","C_0603_1608Metric",162.500000,-82.200000,270.000000,top
"Q1","Q_NMOS_GSD","SOT-23",158.600000,-98.500000,180.000000,top
"Q2","Q_NMOS_GSD","SOT-23",155.000000,-98.500000,180.000000,top
"R1","10k","R_0603_1608Metric",169.200000,-83.100000,180.000000,top
"R2","10k","R_0603_1608Metric",169.200000,-81.300000,180.000000,top
"R3","10k","R_0603_1608Metric",165.400000,-81.300000,0.000000,top
"R4","10k","R_0603_1608Metric",165.400000,-83.100000,180.000000,top
"R5","10k","R_0603_1608Metric",158.800000,-92.500000,180.000000,top
"R6","10k","R_0603_1608Metric",158.800000,-94.600000,180.000000,top
"U1","PAT9125EL","PAT9125EL",164.000000,-91.500000,180.000000,top
"U2","LD3985M33R_SOT23","SOT-23-5",159.200000,-82.200000,0.000000,top
