"ID","参照記号","パッケージ","数","名称","Supplier and ref",
1,"REF1,REF2","MountingHole_3.2mm_M3",2,"MountingHole_3.2mm_M3",,,
2,"U2","SOT-23-5",1,"LD3985M33R_SOT23",,,
3,"R6,R5,R4,R3,R2,R1","R_0603_1608Metric",6,"10k",,,
4,"Q2,Q1","SOT-23",2,"Q_NMOS_GSD",,,
5,"C8","C_0603_1608Metric",1,"1u",,,
6,"C7","C_0603_1608Metric",1,"10n",,,
7,"C6,C5","C_0805_2012Metric",2,"4.7u",,,
8,"U1","PAT9125EL",1,"PAT9125EL",,,
9,"TP1","TestPoint_THTPad_D1.0mm_Drill0.5mm",1,"MOTION",,,
10,"J1","GROVE",1,"Grove",,,
11,"C4,C3","C_0603_1608Metric",2,"0.1u",,,
12,"C2,C1","C_0805_2012Metric",2,"10u",,,
